Subject,Status,Priority,ActivityDate,Description,WhatId__r.Name
Quarterly Business Review,Completed,Normal,2026-03-27,Completed quarterly review with Nordvik Solutions,Nordvik Solutions
Follow-up call,Completed,Normal,2026-04-03,Follow-up after quarterly review,Nordvik Solutions
Contract renewal discussion,Completed,Normal,2026-03-15,Discussed contract renewal terms,Maple & Oak Consulting
Send updated pricing,Completed,Normal,2026-03-20,Sent revised pricing sheet after meeting,Maple & Oak Consulting
Technical requirements review,Completed,Normal,2026-03-10,Reviewed technical specs for new project,TechBridge Labs
Post-demo follow-up,Completed,Normal,2026-04-01,Followed up after product demo,TechBridge Labs
Annual compliance check,Completed,Normal,2026-03-18,Completed annual compliance review,Pinnacle Financial Group
Invoice reconciliation,Completed,Normal,2026-03-25,Reconciled outstanding invoices,Pinnacle Financial Group
Site inspection report,Completed,Normal,2026-03-22,Filed site inspection report,Fjordview Architecture
Vendor evaluation,Completed,Normal,2026-04-02,Evaluated vendor proposals,CloudNine Software
Prepare proposal,Not Started,High,2026-04-17,Draft proposal for Greenfield Logistics,Greenfield Logistics
Schedule demo,Not Started,Normal,2026-04-20,Set up product demonstration,Greenfield Logistics
Send partnership overview,Not Started,Normal,2026-04-15,Send partnership deck to stakeholders,Solaris Energy Group
Prepare ROI analysis,Not Started,High,2026-04-22,Build ROI model for wind farm project,Solaris Energy Group
Draft service agreement,Not Started,High,2026-04-18,Prepare initial service agreement,Havnekraft Marine
Coordinate pilot program,Not Started,Normal,2026-04-25,Set up pilot program logistics,Blue Horizon Travel
Finalize budget proposal,Not Started,High,2026-04-19,Complete budget proposal for Q3,Dansk Medicin A/S
Security assessment,Not Started,Normal,2026-04-21,Run security assessment on platform,Redwood Retail Co
Onboarding checklist,Not Started,Normal,2026-04-24,Prepare onboarding materials,Veloce Motors Italia
Schedule training session,Not Started,Normal,2026-04-16,Book training for new system,Harbour Shipping Ltd
