Name,Industry,Phone,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,Website,NumberOfEmployees
Nordvik Solutions,Technology,+45 33 12 4001,Vesterbrogade 12,Copenhagen,,1620,Denmark,https://www.nordvik.dk,85
Greenfield Logistics,Transportation,+44 20 7946 0022,14 King's Road,London,,SW3 4ND,United Kingdom,https://www.greenfieldlogistics.co.uk,340
Maple & Oak Consulting,Consulting,+1 416-555-0133,200 Bay Street,Toronto,,M5J 2J5,Canada,https://www.mapleoak.ca,52
Solaris Energy Group,Energy,+49 30 5557 8800,Friedrichstraße 45,Berlin,,10117,Germany,https://www.solaris-energy.de,210
TechBridge Labs,Technology,+1 415-555-0177,450 Mission Street,San Francisco,California,94105,United States,https://www.techbridgelabs.com,120
Havnekraft Marine,Manufacturing,+47 22 55 3300,Havnegata 8,Oslo,,0150,Norway,https://www.havnekraft.no,175
Blue Horizon Travel,Hospitality,+34 91 555 6200,Calle Gran Vía 28,Madrid,,28013,Spain,https://www.bluehorizontravel.es,95
Pinnacle Financial Group,Finance,+1 212-555-0199,1 Wall Street,New York,New York,10005,United States,https://www.pinnaclefg.com,430
Dansk Medicin A/S,Healthcare,+45 35 44 7700,Nørre Voldgade 20,Copenhagen,,1358,Denmark,https://www.danskmedicin.dk,160
Redwood Retail Co,Retail,+1 503-555-0145,800 NW 6th Avenue,Portland,Oregon,97209,United States,https://www.redwoodretail.com,75
Fjordview Architecture,Construction,+47 55 22 1100,Bryggen 3,Bergen,,5003,Norway,https://www.fjordview.no,38
CloudNine Software,Technology,+353 1 555 8900,Grand Canal Dock,Dublin,,D02 YX88,Ireland,https://www.cloudninesw.ie,200
Alpen Gastro GmbH,Hospitality,+43 1 555 4400,Kärntner Straße 15,Vienna,,1010,Austria,https://www.alpengastro.at,110
Veloce Motors Italia,Automotive,+39 02 5555 3300,Via Montenapoleone 8,Milan,,20121,Italy,https://www.velocemotors.it,290
Harbour Shipping Ltd,Transportation,+45 39 17 5500,Langelinie Allé 5,Copenhagen,,2100,Denmark,https://www.harbourshipping.dk,420
Summit Education Group,Education,+1 617-555-0188,100 Cambridge Street,Boston,Massachusetts,02114,United States,https://www.summitedu.com,65
Ørsted Biotech,Biotechnology,+45 45 77 2200,Universitetsparken 7,Copenhagen,,2100,Denmark,https://www.orstedbiotech.dk,140
Pacific Fresh Foods,Agriculture,+61 2 5555 7700,12 Darling Harbour Road,Sydney,,2000,Australia,https://www.pacificfresh.com.au,88
Schwarz & Bauer Legal,Legal,+49 89 5555 1100,Maximilianstraße 10,Munich,,80539,Germany,https://www.schwarzbauer.de,45
Lumen Media Group,Media,+46 8 555 3200,Birger Jarlsgatan 22,Stockholm,,114 34,Sweden,https://www.lumenmedia.se,155
Andersen Textiles,Manufacturing,+45 86 55 4400,Søndergade 30,Aarhus,,8000,Denmark,https://www.andersentextiles.dk,230
Rio Telecom Brasil,Telecommunications,+55 21 5555 8800,Avenida Atlântica 500,Rio de Janeiro,,22021-001,Brazil,https://www.riotelecom.com.br,310
Kensington Properties,Real Estate,+44 20 7946 0055,50 Kensington High Street,London,,W8 4PE,United Kingdom,https://www.kensingtonprop.co.uk,60
Arctic Mining Corp,Mining,+1 907-555-0166,3200 Denali Street,Anchorage,Alaska,99503,United States,https://www.arcticmining.com,185
Baltica Insurance,Insurance,+45 70 15 3300,Amaliegade 10,Copenhagen,,1256,Denmark,https://www.balticainsurance.dk,270
